QUEST_20150317_000001	請選擇使用者需要任務更新.
QUEST_20150729_002336	'Don't worry about that. You will win, and you will lose - That won't change. The rules are fixed.' {nl}'What do you mean by that?' {nl}'By taking my offer, you will fail once, and you will win once. No matter what happens.' {nl}'Well, yeah. Winning and losing is how gambling works.'{nl}
QUEST_20150729_002337	'No. No matter how unlucky it may seem, you will win your first gamble. {nl}And then, no matter how favorable life may seem, you will fail the next.'{nl}
QUEST_20150729_002338	Modestas was still confused by these strange words. {nl}'So, you're saying I'll win on every odd bet, and lose on every even one?' {nl}'Yes. It will be so. You will win coin, and then you won't. Is that not fair? {nl}One coin will be enough to succeed, no matter how many bets you make. That is my offer.' {nl}'You think I'll switch between winning and losing, huh?{nl}
QUEST_20150729_002339	With her hand to her chin, the old woman gave a puzzling response. {nl}'Three times each, should be enough. Return to me after you make six gambles. {nl}Naturally, if you don't have more coin after your sixth bet, I will win.'{nl}
QUEST_20150729_002340	Modestas seemed to tremble. 'How much should I earn, then?' {nl}'You start with one gold piece,' she replied, 'and when you return, show me all your gold pieces but that one. {nl}If you stretch that single piece to anything more, then you win. As for the time… you have one week.' {nl}'So, what do you get when I lose?' Modestas reminded her.{nl}
QUEST_20150729_002341	'Well…' the old woman lingered, 'If you win, everyone will know about my gold - {nl}and you'll have the power of winning and losing. On the other hand…' {nl}''On the other hand…'?' Modestas said, tensely.{nl}
QUEST_20150729_002342	'When I win, then after this, the friends you know will disappear every time you lose a bet.' {nl}Modestas was unnerved by the conditions set. He did not immediately object, but thought of the victory, {nl}and soon accepted. Modestas was, most of all, the kind of person who never backed down.{nl}
QUEST_20150729_002343	'Are you not busy? You seemed in a hurry on your horse before you passed by for a talk. You should stop worrying about me and go.' {nl} Sigfried, hearing Modestas' words, replied, {nl} 'I was busy, but I still have time to walk with you for another 10 minutes or so. This horse might not seem like much, but when it comes down to it he can go pretty fast.' {nl}
QUEST_20150729_002344	Seeing Sigfried not budge, Modestas tried again to persuade him, {nl} 'Wouldn't it be better to be early as opposed to be on time?' {nl} {nl} Hearing this, Sigfried became adamant, {nl} 'Do you not believe what I just said or are you willfully ignoring it all?' {nl} A disconcerted Modestas said, {nl} 'No, I didn't mean it like that……' {nl}
QUEST_20150729_002345	However, before Modestas could say any more, Sigfried said, 'If you don't believe me, why don't we have a bet?' {nl} {nl} Naturally, the words, 'Sure. What do you want to wager?' rose up in Modestas' throat.
QUEST_20150729_002346	Considering Modestas' habit, to simply not immediately accept a gamble took superhuman willpower from him. {nl} 'What…  what kind of bet?' {nl} 'We were going to bet on whether my horse is fast or not.' {nl} Modestas desperately fought his inner gambler.
QUEST_20150729_002347	As soon as the bet started, Sigfried tried every method possible to command his horse to move. Despite his efforts it didn't move a single hoof at all.{nl}At the end, Sigfried repeatedly cursed its strange behavior. Realizing he'd be late to his appointment without a horse, he threw the reins to Modestas and sprinted away.{nl}
QUEST_20150729_002348	As Sigfried disappeared, Modestas felt uncomfortable.
QUEST_20150729_002349	'You, the young man with the horse, can you come over and help us for a bit?' {nl} Modestas had no idea what these soldiers needed help for, but since he could no longer ignore them, he decided to head over. {nl} Once Modestas arrived, one of the soldiers said, {nl} 'You came at just the right time. We would like you to referee a small gamble we're about to make here.' {nl}
QUEST_20150729_002350	What started as a small banter turned into a big argument, which finally grew to become a big money bet. The soldiers had already gathered their money and only had to decide the winner. Unfortunately, every 女神 got equal votes and a winner couldn't be decided.{nl}
QUEST_20150729_002351	Thus, the soldiers decided to settle the bet by calling the first person who passed by, asking him who he thought the best 女神 is, and deciding the winner from there. The soldiers agreed that the first passer-by would symbolize the will of whatever 女神 he supported. {nl}
QUEST_20150729_002352	Since a big jackpot was on the line, the soldiers waited with bated breath for Modestas' answer. {nl}Knowing there was no right answer to the question, Modestas simply said aloud the name of his favorite 女神. {nl}
QUEST_20150729_002353	When he did, the soldiers reacted strangely. {nl} There was supposed to be an ecstatic winner and disappointed losers, but nobody seemed joyful nor disappointed. Instead, everyone had a bewildered look on their faces. {nl}
QUEST_20150729_002354	Modestas, perplexed by their reaction, asked for an explanation to which one of the soldiers answered, {nl}'We originally had votes for four 女神es but your choice isn't any of them, so now we have five 女神es.' {nl}Then the soldiers resumed their squabble about how to decide the winner. {nl}
QUEST_20150729_002355	The mood began to deteriorate so Modestas wanted to leave them. {nl}When he was about to take off, the soldiers blocked his path and accused him.{nl}'It's your fault the argument heated up even more. You're not thinking of just leaving are you?'{nl}Intimidated by the irritated soldiers, Modestas dared not to escape. {nl}
QUEST_20150729_002356	Knowing Modestas, he could not simply sit on the sidelines watching a big bet grow. Eventually, he became enticed to join.
QUEST_20150729_002357	Modestas, caught in the heat of the moment and ending up participating in the soldier's bet, finally remembered it was his turn to lose.{nl}But it was too late.{nl}
QUEST_20150729_002358	If you think about it, even if it was his turn to lose, all it took for him to lose was one more vote for any of the 女神es he didn't choose. With the odds of the next person walking by supporting his 女神 being against him, the probability of winning was low anyway.{nl}
QUEST_20150729_002359	However, the victor was chosen unexpectedly. A commanding officer found the soldiers slacking, disciplined them and was about to lead them away. {nl}The soldiers, obeying the superior's command, were about to march off when they shrewdly asked him which 女神 he favored. {nl}
QUEST_20150729_002360	Someone approached Modestas who had been lying down hurt and helped him get back on his feet. He turned out to be one of the people standing on the side, the wagon owner. {nl}The man who helped Modestas uttered with relief, {nl}'I am glad you're not too hurt. Your horse also didn't hurt himself tripping over that pit.'{nl}Modestas noticed a well-hidden pit where he pointed. {nl}The wagon owner continued.{nl}
QUEST_20150729_002361	'My horse became injured here and can no longer pull my wagon. It's just an empty wagon, but at any rate, it won't be going anywhere for a while. That's why I have a proposition. Won't you sell me your horse? I believe with a healthy horse pulling the wagon, even my injured horse can help pull it in some way.'{nl}
QUEST_20150729_002362	It was an unexpected suggestion, but Modestas had to ride the horse to quickly find and catch up to the soldiers. He immediately refused the offer.{nl}The wagon owner tried to explain there was no way his injured horse can pull the wagon alone but Modestas was not persuaded. After his repeated refusal, the wagon owner offered a new suggestion.{nl}'Then let's do this. What if you buy my wagon? I will sell it for cheap. Since my injured horse can't pull the wagon, it will be better off in your hands.'{nl}
QUEST_20150729_002363	Modestas, after saying he'll be back if he loses the bet, began to rein his horse when the old Alchemist let out an eerie cackle. This caught Modestas' attention, who turned around and looked at his person.{nl}
QUEST_20150729_002364	And right before his eyes, the lead nugget prize let out a sparkle and in a moment clearly became gold. {nl} The old Alchemist now snickered, 'Now you owe me one gold nugget, be sure to bring it.' {nl} Modestas protested, but as much as he looked, what the old Alchemist now held was clearly no longer lead. {nl}
QUEST_20150729_002365	'This time, no matter what, I have to wage a bet against the world's richest, well maybe not the richest, but a wealthy man at the very least.'{nl}As soon as he uttered these words, his surroundings shook like an earthquake and a heavy, deep voice declared.{nl}'I am the richest in this region.'{nl}
QUEST_20150729_002366	Modestas scanned his surroundings but failed to find anyone. So he asked,{nl}'Who are you?'{nl}The heavy deep voice answered his question.{nl}'I am where you stand. In your tongue, I am called the mountain.'{nl}Modestas in disbelief, couldn't help but talk back.{nl}
QUEST_20150729_002367	'You are… the mountain?'{nl}'That is correct. I am the mountain, and just as you are looking for, the richest around here.'{nl}'You are the mountain? Well, no, even if you are the mountain, how can you claim to be the richest?'{nl}'I own much land for my sierra stretches far. Further in me I contain large valuable lodes.'{nl}
QUEST_20150729_002368	Even if the mountain's veins contained nothing but rocks, he thought he could end up owning a large quarry to dig out valuable stones. Instead, the mountain had paid an inadequate reward.{nl}When Modestas pointed it out, the mountain disagreed.{nl}'All you own are two horses and a wagon.'
QUEST_20150729_002369	Surely one must wage things of equal value. This boulder is worth as much as you own.'{nl}With that said, the mountain returned to his former self, never to deal with Modestas nor anyone else ever again. {nl}Modestas, in his desperate situation, had wasted his crucial chance to just win one big boulder.{nl}Despite his bad luck, he consoled himself knowing at least he had horses and a wagon to transport the boulder.{nl}
QUEST_20150729_002370	In front of Modestas, who had been worrying, appeared a familiar figure. It was none other than the one who had started the bet, the suspicious old woman.{nl}The old woman asked Modestas.{nl}'How is it? Is it going well?'{nl}
QUEST_20150729_002371	Modestas confessed he was far from making profits, instead being in debt, and he had wasted all his chances to win and only had his last, losing bet remaining.{nl}After listening to his story the old woman flatly added, {nl}'Since you only have one bet left, go ahead and make your last losing bet. Then all that's left for you to do is pay up your end of the bargain for losing the bet against me.'{nl}Modestas was a man who loved to gamble but he was not the type to throw a tantrum nor was he a sore loser.
QUEST_20150729_002372	'Since you are unsure how to transport this boulder you suddenly won, how about this? Normally, I wouldn't change the initial conditions, but as an amusement I will give you a suggestion. Why don't you use your last bet to see whether or not I can lift this boulder up into your wagon? Even if you lose, at least you can have this heavy boulder loaded on your wagon.'{nl}
QUEST_20150729_002373	Modestas who had nothing to lose, nodded his head to accept her proposal. But before he could consent to the bet, the old woman continued. {nl}'But I can't just give you such a favorable idea for free. Therefore I will add one more condition.'{nl}
QUEST_20150729_002374	When Modestas asked about the condition, the old woman answered.{nl}'You are to take the boulder, which I will load onto the wagon, to Klaipeda. Then, turn it into an object of value which everyone will recognize and esteem. If you are successful then the punishment for losing the bet against me will become void. Your friends will not disappear. Since you already lost the bet against me, although this is difficult, I will still give you one more chance. How about it?'{nl}Like always Modestas had no choice.
QUEST_20150729_002375	When the boulder was set in its proper place with the help of the soldiers, the Alchemist who had left returned with another person. The Alchemist had brought with him a famous Dievdirbys sculptor.{nl}To the famous Dievdirbys, the Alchemist suggested, {nl}'Why don't you sculpt a statue of a 女神 using this boulder, on this central site of Klaipeda? If this boulder is changed into a statue of a 女神, then nobody in Klaipeda will be able to deny its significance. I think that will fulfill your promise to the old woman.'{nl}
QUEST_20150729_002376	That the old woman appeared before him, that the many bets occurred, that the mountain erupted a stone for material was the divine providence of the 女神es, argued Modestas, persuading everyone. {nl}
QUEST_20150729_002377	Thus, the people decided to follow the words of Modestas, and Modestas relayed to the Dievdirbys the order to create the statue. {nl}
QUEST_20150729_002378	When the statue was finally finished, the citizens of Klaipeda gathered, curious to know the identity of the 女神 who had been raised in the center of their beloved city.{nl}
QUEST_20150729_002379	The Dievdirbys who had sculpted the statue had already vanished deep into the Kateen Forest, so the citizens of Klaipeda repeatedly questioned Modestas for her name. {nl}
QUEST_20150729_002380	Despite the numerous questions nobody received an answer from Modestas. {nl}At any rate, this is the story of how the 女神 Statue of Klaipeda came to be. Even now that statue stands in the center of Klaipeda.{nl}
QUEST_20150729_002381	Since that time, whenever Modestas took on a wager, he always bet the same thing. The answer to the question of who the Statue of Klaipeda honored.{nl}To uncover the name of the 女神, numerous people challenged Modestas to a bet.{nl}
QUEST_20150729_002382	But no matter the impossible odds, Modestas never lost a bet. Therefore nobody was able to win the answer from Modestas for years and time flew by.{nl}
QUEST_20150729_002383	And, as he lay dying, Modestas revealed the secret to the 女神 Statue in his will. When all became clear, the one who orchestrated all of this was none other than the one whom all other 女神es stem from, 女神 Ausrine.{nl}
QUEST_20150729_002384	In the end, 女神 Ausrine, in exchange for giving income and an interesting life full of mystery to a certain gambler from Klaipeda, gave the city of Klaipeda a beautiful 女神 Statue, and a tale to last for times to come.{nl} {nl}
QUEST_20150730_002385	巫毒娃娃
QUEST_20150730_002386	{memo X}
QUEST_20150803_002387	You need the key that fits the box
QUEST_20150803_002388	Another headache… I have a headache. Just go back and don't worry about me. {nl}Ah, the beautiful flowers are coming…
QUEST_20150803_002389	Eternal life… {nl}I continue to live by the authority of 女神 Ausrine.{nl}
QUEST_20150803_002390	The death moves away from me whenever I set Owl Sculptures that guide the spirits.{nl}Even if an old person like me could be helpful to the 女神 and the world, I should live an eternal life.
QUEST_20150803_002391	{memo X}
QUEST_20150803_002392	Absorbing another's vitality and extending one's own life is possible for me.{nl}But, it's not possible for humans.
QUEST_20150803_002393	Are you curious as to how I obtained eternal life?{nl}If stilled time is eternal, then you can consider it life everlasting.{nl}
QUEST_20150803_002394	I maintain a body that neither ages nor dies by stopping its time.{nl}I guess you could say its the same as being eternal.
QUEST_20150803_002395	What are you doing right now?
QUEST_20150803_002396	{memo X}
QUEST_20150803_002397	{memo X}
QUEST_20150803_002398	{memo X}
QUEST_20150803_002399	{memo X}
QUEST_20150803_002400	When the greed and arrogance of people reach the end, the sacred tree that sleeps underground will awaken.{nl}It will punish the arrogant and take away everything they've achieved.
QUEST_20150804_002401	Nothing is written on it.
QUEST_20150908_002402	{memo X}
QUEST_20150918_002403	There are no missions for today.
QUEST_20150918_002404	There are only missions that seem difficult to you.{nl} Please come again another time.
QUEST_20150918_002405	Historic Site Ruins
QUEST_20150918_002406	Historic Site Ruins (Recommended Lv : 90){nl}Only you and your party members can enter together.{nl}Are you sure you want to enter?
QUEST_20150918_002407	Right. 女神 Laima is the strangest of them all.{nl}No one knows when she disappeared. To be honest, I don't know if she really is a 女神.{nl}
QUEST_20150918_002408	Even if they say the world is doomed, our soldiers will guard this place until the end. {nl}However, we won't be responsible for you getting into trouble, so be careful.
QUEST_20150918_002409	{memo Uska is a knight}歡迎. Sir Uska is waiting for you in the central square of Klaipeda. {nl}Well, is there anything that you are unsure of?
QUEST_20150918_002410	{memo X}
QUEST_20150918_002411	歡迎! 你需要什麼? {nl}Unlike my previous items, I made my best effort to collect these.
QUEST_20150918_002412	I heard that the Revelator appeared and saved the Mage Tower. {nl}I can't imagine what would have happened to Fedimian if the Mage Tower fell. It's such a relief.{nl}Here, feel free to look around anytime.
QUEST_20150918_002413	Fedimian used to be crowded with pilgrims in the past. {nl}I heard someone protected the Great Cathedral so I'm hoping it will be lively as it was during its glorious days.{nl}So, what kind of items are you looking for?
QUEST_20150918_002414	The red-haired wizard found the Revelator to save the Mage Tower {nl}even when there were other 導師s. He did save the Mage Tower so that was great but.. {nl}Anyway, browsing's free so have a look around.
QUEST_20150918_002415	Now isn't this amazing? The Revelator who protected the Great Cathedral.{nl}We decided to not increase our prices, even though we are in tough times. Take your time.
QUEST_20150918_002416	Have you heard the rumor? Regarding the Mage Tower? {nl}A Revelator defeated the Demon Lord. {nl}If father was around, I would have given you some discounts to celebrate.
QUEST_20150918_002417	The people of Fedimian live by the teachings of Maven.{nl}But the Demon Lord dirtied it. The Revelators sure punished him for the 女神. {nl}Now, what do you want me to check?{nl}
QUEST_20150918_002418	I heard that some Revelator saved the Mage Tower. {nl}Fedimian should be safe now, right? {nl}Anyway, you might find some helpful items so look around. {nl}
QUEST_20150918_002419	The expectations on the Revelator from all the people of Fedimian is increasing. {nl}News has spread that a certain Revelator defeated the Demon Lord holding the Great Cathedral.{nl}Anyway, you don't necessarily have to buy something so feel free to look around.
QUEST_20150918_002420	It looks like something is in that grass.
QUEST_20150918_002421	{memo X}
QUEST_20150918_002422	Then something snapped. {nl}A fellow clergyman, I can't remember who, had murdered Dion in his sleep with a mace and I… {nl}Everyone… {nl}No one can remember why they wanted to become priest in the past anymore.
QUEST_20150918_002423	Each 女神 Statue is known to have different abilities depending on which 女神 it depicts. {nl}For example, the statue of 女神 Zemyna gives a blessing that enhances any ability you want.
QUEST_20150918_002424	But the statue of 女神 Ausrine in Klaipeda is a bit strange. {nl}It moves you to a desired area even though such a thing is 女神 Vakarine's power.
QUEST_20150918_002425	Go down quickly. It's dangerous. {nl}This place is empty.
QUEST_20150918_002426	I cannot feel any magic.
QUEST_20150918_002427	現在是空的.
QUEST_20150918_002428	地下教堂地下城
QUEST_20150918_002429	地下教堂地下城 (建議等級 : 50){nl}只有你和你的隊友能一起進入.{nl}你想要進入?
QUEST_20150918_002430	Fallen Legwyn Family Dungeon
QUEST_20150918_002431	Fallen Legwyn Family Dungeon (建議等級 : 132){nl}只有你和你的隊友能一起進入.{nl}你想要進入?
QUEST_20150918_002432	大法師塔地下城
QUEST_20150918_002433	大法師塔地下城 (建議等級 : 190){nl}只有你和你的隊友能一起進入.{nl}你想要進入?
QUEST_20150918_002434	地下墓穴地下城
QUEST_20150918_002435	地下墓穴地下城 (建議等級 : 200){nl}只有你和你的隊友能一起進入.{nl}你想要進入?
QUEST_20150918_002436	I'm looking over the shop because my father is busy. {nl}I may be not as good as my father, but my touch is precise. 
QUEST_20150918_002437	Look around! {nl}It's a bit crowded but many items are waiting to meet its owner.
QUEST_20150918_002438	倉庫管理員 Jadan
QUEST_20150918_002439	歡迎. It sure is busy here, right?{nl} Please be patient with us as we're trying our best to restore the area.{nl}總之，我該怎麼幫你？
QUEST_20150918_002440	Fedimian was known for its silver craft. {nl}The town is still being restored, but the skill of its people remain.
QUEST_20150918_002441	這個地方是瘋了. {nl}The only way to get rid of this cursed Tree Root Crystal is to burn it down. {nl}We need fire. A huge one.
QUEST_20150918_002442	Is that a head of a 女神 Statue over there?
QUEST_20150918_002443	There is a box over there. Shall we check it?
QUEST_20150918_002444	Let's check that barrel over there.
QUEST_20150918_002445	Is that a wing of a 女神 Statue over there?
QUEST_20150918_002446	Huh? How did you get up here?
QUEST_20151001_002447	Amazing.{nl}It must be created hundreds of years ago..{nl}It seems it speaks by watching you.{nl}
QUEST_20151001_002448	But, I don't feel any evil energy nor the determination.{nl}So then, this Revelation is really of 女神 Laima's... That's right.{nl}
QUEST_20151001_002449	We are more surprised about the savior.{nl}
QUEST_20151001_002450	Among many Revelators, the one who can save this world and the 女神es...{nl}The Revelation says that you are the savior.{nl}
QUEST_20151001_002451	You better not tell the world about it.{nl}If you don't want the demons to go look for you.{nl}
QUEST_20151001_002452	The Revelation doesn't want me to mention about the savior, I guess.{nl}Okay, please go back to meet Uska.{nl}
QUEST_20151001_002453	He will tell you where to go.{nl}May the 女神 bless you in the future.
QUEST_20151001_002454	接待員 Liam
QUEST_20151001_002455	What kind of request are you looking for?
QUEST_20151001_002456	Please be with someone you can trust.
QUEST_20151001_002457	We don't have a suitable request for you.{nl}Please look for it next time.
QUEST_20151001_002458	There's a request that is being progressed.{nl}Come see me again after finishing the request.
QUEST_20151001_002459	The request can be accepted by the party leader.
QUEST_20151001_002460	荊棘藤蔓森林地下城
QUEST_20151001_002461	荊棘藤蔓森林 (建議等級 : 175){nl}只有你和你的隊友能一起進入.{nl}你想要進入?
QUEST_20151001_002462	It was a disaster… Many people were either injured or killed. {nl}Gentle creatures grew fierce and many new monsters emerged.{nl}
QUEST_20151001_002463	The best weapons and armors are the ones that you get used to over a long period of time. In order to do so, you must start by buying good items.
QUEST_20151001_002464	The things I sell are good both in price and quality.
QUEST_20151001_002465	A lot of people seem to be coming thanks to Sir Uska's recruitment notice.{nl}Take a look around at your own pace without feeling anxious.
QUEST_20151001_002466	The days were better when Commander Uska took care of Klaipeda.
QUEST_20151001_002467	Intelligence, calm judgment and cold rationality. These are the qualities required for our Cryomancers.{nl}These are the principles that will never change no matter what happens to the world.
QUEST_20151001_002468	Vain death is the only thing that lies at the end for those who simply seek to be audacious.{nl}If you wish to save the world, lift the shield of the Peltasta.
QUEST_20151001_002469	I heard the monsters are moving in herds outside Klaipeda.{nl}Instead of defeating them one by one, it will be better to learn my techniques.
QUEST_20151001_002470	My device will soon be functional. By the end of the day, you too will be able to enter the Mage Tower.
QUEST_20151001_002471	The thief who foolishly entered this tower to rob it was burned alive. {nl}At the very least, the monuments he left will serve as a warning to other trespassers. {nl}- Agailla Flurry
QUEST_20151001_002472	General Ruklys has fallen in battle, and the Fortress of the Great Earth has been taken. {nl}Some people say he was killed by Lydia Schaffen's arrow while others say by the royal magicians' magic, but it is certain that he passed away. {nl}It is indeed sad news.	
QUEST_20151001_002473	There's no hope at all. Ah… my lovely Ridell. {nl}The kingdom soldiers did not keep their words. We're all going to die.{nl}	
QUEST_20151001_002474	Even if the world collapses, the people will remain.{nl}If you have the desire to win with trustworthy companions.	
QUEST_20151001_002475	This too is my ordeal and duty which Laima foresaw... {nl}I will tell you Laima's message.{nl}	
QUEST_20151001_002476	If I'm paid well, there's no reason I would stop a person who wants to learn my techniques.{nl}Rather, I would even welcome that person. That doesn't mean they should follow my every move, though.
QUEST_20151001_002477	Some Revelator drove out the demons in the Crystal Mine. {nl}That's just splendid news. {nl}Take your time and look around.
QUEST_20151001_002478	Have you heard the rumors about 泰耐特 Chapel?{nl}The Revelator may come see the 女神.{nl}I can also benefit from it in terms of my business.
QUEST_20151001_002479	I am so happy to hear such good news after you came here.{nl}I was very depressed about how the world would turn out. Ah, take your time to look around.
QUEST_20151001_002480	I heard the Crystal Mine may open again because of some Revelator.{nl}It doesn't cost you anything to look around, so take your time.
QUEST_20151001_002481	Have you heard what happened at the Crystal Mine?{nl}I heard one Revelator defeated the scary Demon Lord and I think it's so great.{nl}Please do not refuse and take your time to look around.
QUEST_20151001_002482	I was hoping that the 女神 was at 泰耐特 Chapel, but I guess she wasn't.{nl}But, I am sure the Revelators will find her.{nl}So I've decided not to raise the prices although we are having difficult times these days. Please check.
QUEST_20151001_002483	It is so good to hear that the Crystal Mine is opening again soon. {nl}I'd thought the world would've collapsed soon. {nl}Let's see, which equipment do you want me to take a look at?
QUEST_20151001_002484	The Revelator who saved 泰耐特 Chapel... I'd like to fix your equipment for free,{nl}but that is going to be hard due to the current circumstances.
QUEST_20151001_002485	It is great that the Revelator retook the Crystal Mine back from the hands of the demons.{nl}We feel embarrassed since it should have been retaken by us.
QUEST_20151001_002486	聖騎士導師 could ask for our help...{nl}We would have caught the Demon King if he had done so.
QUEST_20151001_002487	I don't care who saved the Crystal Mine.{nl}Wasn't he a Cryomancer? I just hope he isn't a Pyromancer.
QUEST_20151001_002488	You saved 泰耐特 Chapel... But the 女神 wasn't there, right?{nl}That's unfortunate. Everyone wished deeply to see the 女神es.
QUEST_20151001_002489	About the Crystal Mine, I don't know who the Revelator is, but he has done us a great deed.{nl}Should we just look for the 女神es now?{nl}
QUEST_20151001_002490	I thought 泰耐特 Chapel would not be influenced by 聖樹之日, but it turned into a demons' den.{nl}But, it is still has hope. We just have to start again. 
QUEST_20151001_002491	I feel embarrassed that the Revelator has done something which the 導師s couldn't do.{nl}Please don't misunderstand. It is not an inferiority complex.
QUEST_20151001_002492	I've heard about 泰耐特 Chapel. Isn't it great? {nl}The expectations of you are getting bigger at Klaipeda. You realize this, right?
QUEST_20151001_002493	I could not save all the people at the capital city on 聖樹之日. {nl}But, I heard some Revelator saved everyone at the Crystal Mine. It is very good indeed.
QUEST_20151001_002494	About 泰耐特 Chapel, I know those Watchers well.{nl}I wanted them to move to Klaipeda since the world is dangerous these days, but they told me they feel more comfortable at Gele Plateau.{nl}Everything turned out well because of you.
QUEST_20151001_002495	I want to research further about the sacred power which the first Paladin 導師 created on Gele Plateau.{nl}If we somehow use that power, we may find a way to save the kingdom.
QUEST_20151001_002496	The Vubbes rushed out from the Crystal Mine because of the Demon Lord. {nl}But, I don't know why they took the villagers. Do you know anything about it?
QUEST_20151001_002497	I can't believe it. Is the Cunningham legend at the Crystal Mine for real?{nl}If that's so, where is she?
QUEST_20151001_002498	When I first saw the Revelator, I thought it was a trick by the demons...{nl}But, since he retook 泰耐特 Chapel, I think he may save the world.
QUEST_20151001_002499	I've heard about what happened at the Crystal Mine.{nl}I am sure the Revelators are the ones sent by the 女神es.
QUEST_20151001_002500	We are happy to hear that 泰耐特 Chapel was taken back from the hands of the demons.{nl}But, we still have a long way to go. We feel ashamed that we couldn't actively participate.
QUEST_20151001_002501	The 女神es always win.{nl}打敗惡魔領主, Mirtis by the Revelator is evidence.
QUEST_20151001_002502	Even though the 女神es aren't here, we have no doubts that we are going to win.{nl}The Revelator who protected 泰耐特 Chapel confirms that.
QUEST_20151001_002503	Everyone thought that the legend of Cunningham was just a story.{nl}But, since the Demon Lord at the Crystal Mine really appeared, who was that girl anyways...
QUEST_20151001_002504	I've known the 聖騎士導師 for a long time.{nl}He must have had some worries... You have done something great.
QUEST_20151001_002505	The Crystal Mine is the start of the ordeal.{nl}But, that is the sacred duty which you are responsible for.{nl}
QUEST_20151001_002506	When the great earth accepts the death and the stars in the sky draw the horizon...{nl}The seeker of truth who will stand on the line where births and deaths continue eternally.
QUEST_20151001_002507	Laima never showed herself in recorded history.{nl}And she was waiting for you while making the Revelation in that long period.
QUEST_20151001_002508	Splendid. I've heard some Revelator defeated the Demon Lord.{nl}But, what was more surprising is that the legend of Cunningham is actually true.
QUEST_20151001_002509	I've pondered about many things since I heard that 泰耐特 Chapel was protected.{nl}All these disasters probably occurred for something way bigger than we could ever imagine...
QUEST_20151001_002510	I don't know who the Revelator is, but it's so great to hear that the Demon Lord at the Crystal Mine was defeated.{nl}Now, dreaming for a hope is not meaningless.
QUEST_20151001_002511	I am worried about the safety of the Paladin 導師, although it was great to protect 泰耐特 Chapel.{nl}He concentrated on recovering for a long time when he used the divine object at the captial city on 聖樹之日.
QUEST_20151001_002512	I've heard the demons failed to occupy the Mage Tower because of the Revelator who has appeared recently.{nl}But, if I was one of them, I would have prepared enough so that no one could try occupying the tower. {nl}Unlike what had happened to my family.
QUEST_20151001_002513	How dare a Demon Lord insult the teachings of Maven...{nl}Naktis has paid the price for it.
QUEST_20151001_002514	I have heard about the Revelator who drove out the demons from the Mage Tower.{nl}The 導師s didn't do anything. Of course, I didn't do anything neither.
QUEST_20151001_002515	Everyone is just busy trying to survive after 聖樹之日 so they don't have time to think about going to the great cathedral.{nl}But everyone relies on the Great Cathedral. {nl}The Revelator completed a huge task.
QUEST_20151001_002516	I don't know who the Revelator is, but I could have saved Mage Tower better than the Revelator. {nl}Of course, my fees would have be met.
QUEST_20151001_002517	Even a person like me who goes after money, I know how important the Great Cathedral is.{nl}But, one thing that keeps my attention... The necklaces of the wise man, Maven. {nl}They are not in the hands of the demons right?
QUEST_20151001_002518	I came here by passing through rough winds and waves while you've came here by going through Thorny Vines Forest.{nl} You must be joking that you haven't found the 女神es. Seriously, how did you do that?
QUEST_20151001_002519	If Mage Tower collapses, Fedimian won't be safe.{nl}惡魔領主, Helgasercle... the end of the obsession ends in such vain. 
QUEST_20151001_002520	Ever since the Revelators who dreamt of the 女神 appeared, the hands of the demons released them one by one.{nl}The same goes to the Great Cathedral. {nl}The proof that the 女神es didn't abandon us is them.
QUEST_20151001_002521	離開王國
QUEST_20151001_002522	A gigantic tree rose up from deep underground the capital city.{nl}The size of the tree was big enough that it couldn't even be compared against any mountain.{nl}As a result, many cities were destroyed and many people lost their beloved ones.{nl}
QUEST_20151001_002523	But, the disaster did not end there.{nl}The evil energy started to surround the grounds and the monsters started to become feral. {nl}The demons started to attack.{nl}It was like an incurable disease, we didn't see any sign of recovery.
QUEST_20151001_002524	Still, the 女神 were no where to be found.{nl}The 女神 who we trusted disappeared without a trace and responded to nobody's prayers.{nl}People became mad and depressed, and soon only resignations were left behind.{nl}We started to prevent the chaos as much as we could, but as we did so, more misunderstandings were created. {nl}Death was always close-by and we gradually became dreary. {nl}
QUEST_20151001_002525	We are becoming dreary to all the sadness and the pains.{nl}As if lifeless, we give up on everything and try not to do anything.{nl}It is like we are seeing the end of the history of the kingdom...{nl}We are just keep repeating the names of the 女神es.{nl}
QUEST_20151001_002526	I will end my writing here and leave the kingdom.{nl}I don't like my feeling of helplessness and the depressions.{nl}I am going to leave to a place where I can dream for hope again...
QUEST_20151001_002527	Savior...{nl}Laima told us that she had dreamt about the collapse of the world.{nl}And among many Revelators, one Savior would save everyone.{nl}
QUEST_20151001_002528	However, I cannot fully trust Laima's foresight.{nl}
QUEST_20151001_002529	For the Savior that would appear some day...{nl}I should have been responsible for the flames of the world, but I neglected my duties.{nl}
QUEST_20151001_002530	I thought the reason why I had to follow the Revelation on behalf of Agailla Flurry,{nl}was related to her death and the ill-fated relationship with Helgasercle.{nl}
QUEST_20151001_002531	But, everything was accomplished as foretold by Laima.{nl}After 聖樹之日, I had to endure the long fight with my weak power.{nl}
QUEST_20151001_002532	Thanks for rescuing me, Savior.{nl}I should've listened to Laima sooner... and I regret the days in the past.
QUEST_20151001_002533	Perhaps I shall soon lose my breath. {nl}Pilgrims, may the blessings of the 女神 be with you!
