
UI_20150317_000001	{@st41b}可以從各職業的導師處{nl}學習到對應的特性技能。{/}
UI_20150714_001661	死亡
UI_20150714_001662	傷害
UI_20150714_001663	{@st41}返回區域
UI_20150714_001664	{@st41b}%s 秒後返回區域...{/}
UI_20150714_001665	{@st59}打開信箱{/}
UI_20150714_001666	{@st42}小屋裝修{/}
UI_20150714_001667	{@st42}小屋設定{/}
UI_20150714_001668	{@st65}%s 點{/}
UI_20150714_001669	{@st65}×%s{/}
UI_20150714_001670	{@st65}%s 點{/}
UI_20150714_001671	{@st65}×%s{/}
UI_20150714_001672	圖片說明
UI_20150714_001673	{#000000}%s 秒
UI_20150714_001674	{#000000}%s 裝備
UI_20150714_001675	隊伍名稱：{#2c140c}%s{/}
UI_20150714_001676	說明：{#2c140c}%s{/}
UI_20150714_001677	平均等級：{#2c140c}%s{/}
UI_20150714_001678	想要找的職業：{#2c140c}%s{/}
UI_20150714_001679	任務分享：{#2c140c}%s{/}
UI_20150714_001680	經驗值分配規則：{#2c140c}%s{/}
UI_20150714_001681	道具分配規則：{#2c140c}%s{/}
UI_20150714_001682	您在這個隊伍中過得愉快嗎？
UI_20150714_001683	{@st42} 獲得 %s by %s
UI_20150714_001684	{@st42} 強化 %s by %s
UI_20150714_001685	備註：%s
UI_20150714_001686	{@st59}添加材料至此道具欄位。{/}
UI_20150714_001687	{@st66b}價格：%s{/}
UI_20150714_001688	角色問候語
UI_20150714_001689	委託商店
UI_20150714_001690	×%s
UI_20150714_001691	{@41b}條件
UI_20150714_001692	{memo X}{@st41}Delete
UI_20150714_001693	{@st41}重新整理
UI_20150717_001694	{memo X}{#ffff00}%s{/} players like this character
UI_20150717_001695	{@st41b}{s56}這個遊戲是 {#0066FF}
UI_20150717_001696	輔導級，未滿十二歲之兒童不宜遊玩。
UI_20150717_001697	{s40} {nl}玩太久會損害您的健康喔,別宅了出去走走吧。{/}
UI_20150717_001698	{@st66b}輸入
UI_20150717_001699	{@st42}我的卡片資訊
UI_20150717_001700	{@st59}STA{nl}{@st59s}當體力不足時移動速度會減慢{/}
UI_20150717_001701	{@st59}對道具進行排序{/}
UI_20150717_001702	{memo X}Sort
UI_20150717_001703	{@st59}關閉手把操作指南。{/}
UI_20150717_001704	{@st59}關閉鍵盤操作指南。{/}
UI_20150717_001705	滑鼠教學
UI_20150717_001706	{@st59}關閉滑鼠操作指南。{/}
UI_20150717_001707	攻擊力 : %s
UI_20150717_001708	防禦力 : %s
UI_20150717_001709	力量 : %s
UI_20150717_001710	體質 : %s
UI_20150717_001711	智力 : %s
UI_20150717_001712	敏捷 : %s
UI_20150717_001713	精神 : %s
UI_20150717_001714	{memo X}{@st42b}Swordsman types can dash by pressing the arrow key twice.{/}
UI_20150717_001715	{@st42}隊伍名稱和說明{/}
UI_20150717_001716	{@st42}將隊伍名稱複製到對話框
UI_20150717_001717	{@st41b}公開組隊列表{/}
UI_20150717_001718	{memo X}{@st41b}Recommended Character List{/}
UI_20150717_001719	{@st41b}接收推薦
UI_20150717_001720	只有隊長能使用。
UI_20150717_001721	您必須使用隊員推薦功能。
UI_20150717_001722	{@st66b}任務分類名稱{/}
UI_20150717_001723	{@st59b}商店{nl}{@st59s} - 按住Shift+滑鼠右鍵可以自定購買數量{nl} - 按兩下滑鼠右鍵可以一次出售全部數量的物品{/}	
UI_20150717_001724	{@st59}滑鼠指南{/}
UI_20150717_001725	{@st66b}排序
UI_20150717_001726	{@st59}道具排序{/}
UI_20150717_001727	{@st59}欄內的武器裝備{nl}按Alt+Z可切換{/}
UI_20150717_001728	觀戰其他角色
UI_20150717_001729	{@st41}戰場
UI_20150717_001730	成績
UI_20150717_001731	{@st41}立即移動
UI_20150717_001732	{@St41b}小屋名稱是代表你所有人物的名稱.{nl}這是遊戲中使用的通用名稱.{nl}小屋名稱可以再做更改.{/}
UI_20150729_001733	{@st42}只顯示可學習的{/}
UI_20150729_001734	腿的數量
UI_20150729_001735	身高
UI_20150729_001736	體重
UI_20150729_001737	{@st43}寶石淬煉{/}
UI_20150729_001738	{@st59b}道具製作{nl}{@st59s} - 擁有圖紙後可製作對應的道具{nl} - 把圖紙和材料放入欄位內進行製作{nl} - 你可以自行定義道具名稱與注解{/}
UI_20150729_001739	{@st59}取消製作{/}
UI_20150729_001740	{memo X}Fragments needed : Mutant %s / Beast %s / Plant %s
UI_20150729_001741	{@st42b}劍士可以按兩下方向鍵來疾跑{/}
UI_20150729_001742	{@st41}隊伍設定
UI_20150729_001743	{@st41}隊伍招募設定
UI_20150729_001744	{@st42}使用隊伍搜尋功能{/}
UI_20150729_001745	如果有玩家符合你的條件,將顯示消息[隊伍條件符合！]
UI_20150729_001746	{@st41b}推薦玩家列表{/}
UI_20150729_001747	{@st41}特性訊息
UI_20150729_001748	{@st59}取消強化{/}
UI_20150729_001749	{@st59b}寶石/卡片強化{nl}{@st59s} - 在背包中選擇要強化的寶石或卡片{nl} - 除了任務物品之外所有物品都可以作為寶石強化的材料{nl} (使用寶石作為材料時最有效){nl} - 卡片只能利用其他卡片作為材料才可以強化{/}
UI_20150729_001750	{memo X}{#000000}{s22}Server Queue
UI_20150729_001751	{memo X}{#000000}{s22}The server is currently full. Queueing for entry.
UI_20150729_001752	{memo X}{#000000}{s22}Current Position : %s
UI_20150729_001753	{@st43}團隊戰鬥
UI_20150729_001754	{@st59}關閉團隊戰鬥
UI_20150729_001755	{@st42}團隊戰鬥日程表
UI_20150729_001756	{@st43}團隊戰鬥排行
UI_20150729_001757	{@st59}關閉團隊戰鬥排行
UI_20150729_001758	小屋名稱
UI_20150729_001759	{@st41b}技能名稱
UI_20150729_001760	{@st59}接受隊伍任務{/}
UI_20150729_001761	{@st59}刪除票卷{/}
UI_20150729_001762	分數
UI_20150729_001763	加入團隊戰鬥
UI_20150730_001764	{memo X}{@st56}My Rank
UI_20150730_001765	{memo X}{@st56}Kill Rank
UI_20150730_001766	{memo X}{@st56}Damage Rank
UI_20150803_001767	普通: /s 想說的話{nl}大喊: /y 想說的話 {nl}組隊: /p 想說的話{nl} 密語: /w 小屋名稱 想說的話
UI_20150803_001768	{@st66b}手把震動{/}
UI_20150803_001769	已經找到對戰組合，入場等待中。
UI_20150804_001770	{@st43}{s18}請選擇一個角色來接收物品。{/}
UI_20150804_001771	最多 %s 個插槽
UI_20150807_001772	{@st41b}檢視詳情 {img red_down_arrow 16 16}
UI_20150807_001773	{memo X}
UI_20150807_001774	{memo X}
UI_20150918_001775	篝火持續時間
UI_20150918_001776	效果
UI_20150918_001777	點擊可增加篝火的持續時間{nl} 需要 %s 銀幣。
UI_20150918_001778	個人倉庫
UI_20150918_001779	{@st41b}類型：{@sti7}%s{/}
UI_20150918_001780	{@st41b}操作難度：{@sti7}%s{/}
UI_20150918_001781	受{#ffff00}{ol}%s{/}{/}位玩家歡迎
UI_20150918_001782	{@st43}副本詳情
UI_20150918_001783	{@st41}確認位置
UI_20150918_001784	{#000000}副本名稱{/}
UI_20150918_001785	{#000000}可進入等級{/}
UI_20150918_001786	{#000000}可進入次數{/}
UI_20150918_001787	{#000000}進入 %s 次後，進入次數會被重置。{/}
UI_20150918_001788	{img silver 20 20} 購入價格
UI_20150918_001789	附近的隊伍
UI_20150918_001791	{@st66b}須騰出空間
UI_20150918_001792	{@st42}顯示附近的隊伍{/}
UI_20150918_001793	{@sti9}%s{@st66b}的親密度：{@st66b}等級{/} {@sti9}%s {@st66b}
UI_20150918_001794	親密度
UI_20150918_001795	{@st41b}獲得製作材料！
UI_20150918_001796	{@st66b}{s20}你陷入{/}{s20}{#cc6600}{ol}無法戰鬥 {/}{@st66b}{s20}的狀態！{/}
UI_20150918_001797	{@st66b}從最近的重生點復活{/}
UI_20150918_001798	{@st66b}原地復活(消耗 %s iCoins){/}
UI_20150918_001799	{@st66b}返回地區{/}
UI_20150918_001800	{@st66b}放棄任務再挑戰一次{/}
UI_20150918_001801	{@st66b}再次挑戰{/}
UI_20150918_001802	{@st66b}賣掉的物品{/}
UI_20150918_001803	{@st53}排名點數：%s
UI_20150918_001804	共 %s 件無法交易
UI_20150918_001805	{@st42b}確認對話內容{/}
UI_20150918_001806	{@st66b}給隊員提供食物{/}
UI_20150918_001807	{@st41b}變更公告板名字
UI_20150918_001808	{@sti9}我的排名
UI_20150918_001809	{@sti9}擊殺排名
UI_20150918_001810	{@sti9}傷害排名
UI_20151001_001811	{@st43}鍵盤設定{/}
UI_20151001_001812	{@st45tw2}目錄
UI_20151001_001813	動作
UI_20151001_001814	回復預設值
UI_20151016_001815	{@st59}選擇的道具將被鎖定{/}
UI_20151016_001816	{@st59}你可以預覽、變更小屋主題。
UI_20151016_001817	可容納%s名角色{/}
UI_20151016_001818	{@st42b}預覽
UI_20151016_001819	{@st42b}返回
UI_20151016_001820	{@st42b}購買
UI_20151016_001821	{@st42b}啟用
UI_20151016_001822 	公會名稱和介紹
UI_20151016_001823 	隊伍名稱
UI_20151016_001824	Title
UI_20151016_001825 	公告
UI_20151022_001826	{@st41}等待進入伺服器
UI_20151022_001827	{#000000}{s18}伺服器人數飽和，排隊等待中。
UI_20151022_001828	{@st66b18}現在順位：%s
UI_20151022_001829	{@st66b}顯示其他角色效果
UI_20151023_001830	{@st41b}iCoin{/}
UI_20151023_001831	{@st41}iCoin
UI_20151023_001832	iCoin
